"","CustomerID","last_order","r","f","m","r_score","f_score","m_score","total_score","fm_score"
"64",12425,2011-09-22,78,1,777.2,2,1,3,5,4
"65",12426,2011-05-29,194,1,582.73,1,1,2,4,3
"66",12427,2011-11-18,21,3,825.8,3,3,3,7,6
"67",12428,2011-11-14,25,8,7405.26,3,4,4,8,8
"68",12429,2011-11-30,9,4,3750.4,4,3,4,8,7
"69",12430,2011-10-27,43,1,256.4,3,1,1,4,2
"70",12431,2011-11-04,35,15,6419.95,3,4,4,8,8
"71",12432,2011-10-28,42,5,5059.32,3,3,4,8,7
"72",12433,2011-12-09,0,7,13375.87,4,4,4,9,8
"73",12434,2011-09-16,84,2,806.14,2,2,3,6,5
"74",12435,2011-09-21,79,2,7829.89,2,2,4,7,6
"75",12436,2011-09-01,99,1,509.01,2,1,2,4,3
"76",12437,2011-12-08,1,18,4951.41,4,4,4,9,8
"77",12438,2011-11-25,14,2,2906.85,4,2,4,8,6
"78",12441,2010-12-08,366,1,173.55,1,1,1,3,2
"79",12442,2011-12-06,3,1,172.06,4,1,1,5,2
"80",12444,2011-11-18,21,5,5005.46,3,3,4,9,7
"81",12445,2011-11-17,22,1,133.4,3,1,1,5,2
"82",12446,2011-10-13,57,1,1002.31,2,1,3,5,4
"83",12447,2011-04-10,243,1,476.49,1,1,2,4,3
"84",12448,2011-10-26,44,1,449.45,3,1,2,5,3
"85",12449,2011-11-17,22,4,4067.29,3,3,4,8,7
"86",12450,2011-07-06,156,2,197.88,1,2,1,4,3
"87",12451,2011-11-29,10,5,9035.52,4,3,4,9,7
"88",12452,2011-11-23,16,2,430.57,4,2,2,7,4
"89",12453,2011-07-28,134,1,707.09,2,1,3,4,4
"90",12454,2011-10-14,56,1,3528.34,2,1,4,6,5
"91",12455,2011-09-27,73,6,2466.86,2,4,4,8,8
"92",12456,2011-10-26,44,3,3181.04,3,3,4,7,7
"93",12457,2011-10-04,66,7,2363.23,2,4,4,8,8
"94",12458,2011-09-29,71,2,947.4,2,2,3,6,5
"95",12461,2011-09-06,94,2,826.88,2,2,3,5,5
"96",12462,2011-11-21,18,2,1189.59,3,2,3,8,5
"97",12463,2011-10-17,53,4,1344.78,2,3,3,7,6
"98",12464,2011-11-29,10,8,1212.05,4,4,3,9,7
"99",12465,2011-11-22,17,2,742.19,3,2,3,7,5
"100",12468,2011-06-05,187,2,729.54,1,2,3,5,5
"101",12471,2011-12-07,2,29,19758.65,4,4,4,9,8
"102",12472,2011-11-07,32,7,6572.11,3,4,4,8,8
"103",12473,2011-10-17,53,3,2873.73,2,3,4,7,7
"104",12474,2011-11-22,17,18,7324.09,3,4,4,9,8
"105",12475,2011-10-17,53,1,723.38,2,1,3,5,4
"106",12476,2011-11-24,15,11,6816.42,4,4,4,9,8
"107",12477,2011-11-17,22,6,13219.74,3,4,4,9,8
"108",12478,2011-12-06,3,1,680.99,4,1,3,6,4
"109",12479,2011-11-28,11,1,527.2,4,1,2,6,3
"110",12480,2011-11-11,28,4,3281.63,3,3,4,7,7
"111",12481,2011-11-17,22,10,5579.82,3,4,4,9,8
"112",12483,2011-11-22,17,8,2484.98,3,4,4,9,8
"113",12484,2011-11-07,32,6,4527.32,3,4,4,8,8
"114",12488,2011-11-30,9,3,1298.66,4,3,3,8,6
"115",12489,2011-01-07,336,1,334.93,1,1,2,3,3
"116",12490,2011-12-04,5,10,5417.93,4,4,4,9,8
"117",12491,2011-11-01,38,1,460.4,3,1,2,5,3
"118",12492,2011-10-07,63,2,263.21,2,2,1,5,3
"119",12493,2011-06-27,165,2,433.74,1,2,2,5,4
"120",12494,2011-11-24,15,7,1246.1,4,4,3,9,7
"121",12497,2011-09-19,81,1,1043.1,2,1,3,5,4
"122",12498,2011-11-18,21,3,403.7,3,3,2,7,5
"123",12500,2011-11-16,23,11,4257.82,3,4,4,9,8
"124",12501,2011-01-07,336,1,2169.39,1,1,4,5,5
"125",12502,2011-09-05,95,5,3723.87,2,3,4,7,7
"126",12504,2011-11-21,18,2,482.05,3,2,2,7,4
"127",12506,2011-04-21,232,1,73.5,1,1,1,3,2
"128",12507,2011-07-28,134,3,1304.81,2,3,3,6,6
"129",12508,2011-11-13,26,2,397.88,3,2,2,6,4
"130",12509,2011-02-28,284,1,176.5,1,1,1,3,2
"131",12510,2011-07-20,142,2,982.57,1,2,3,5,5
"132",12512,2011-10-04,66,2,132.18,2,2,1,5,3
"133",12513,2011-08-19,112,1,612.29,2,1,2,4,3
"134",12514,2011-03-17,267,1,1017.68,1,1,3,4,4
"135",12515,2010-12-21,353,1,383.7,1,1,2,3,3
"136",12516,2011-09-23,77,2,1312.06,2,2,3,7,5
"137",12517,2011-11-11,28,5,2481.6,3,3,4,8,7
"138",12518,2011-12-09,0,5,2056.89,4,3,4,9,7
"139",12519,2011-10-07,63,1,330.84,2,1,2,4,3
"140",12520,2011-09-21,79,5,2634.26,2,3,4,8,7
"141",12521,2011-07-20,142,1,599.68,1,1,2,4,3
"142",12522,2011-10-31,39,2,192.72,3,2,1,5,3
"143",12523,2011-11-20,19,11,1789.77,3,4,4,9,8
"144",12524,2011-11-30,9,8,4485.72,4,4,4,9,8
"145",12526,2011-12-09,0,3,1316.66,4,3,3,8,6
"146",12527,2011-09-19,81,3,348.71,2,3,2,5,5
"147",12528,2011-11-30,9,6,1933.48,4,4,4,9,8
"148",12530,2011-10-11,59,4,1662.28,2,3,4,7,7
"149",12531,2011-11-25,14,1,125.22,4,1,1,5,2
"150",12532,2011-11-09,30,1,349.83,3,1,2,4,3
"151",12534,2011-08-01,130,1,1089.18,2,1,3,4,4
"152",12535,2011-09-09,91,2,716.35,2,2,3,5,5
"153",12536,2011-10-11,59,1,4279.71,2,1,4,6,5
"154",12538,2011-11-10,29,1,363.95,3,1,2,4,3
"155",12539,2011-11-17,22,4,5568.35,3,3,4,8,7
"156",12540,2011-11-20,19,17,13400.24,3,4,4,9,8
"157",12541,2011-11-10,29,3,981.18,3,3,3,6,6
"158",12544,2011-11-03,36,1,372.7,3,1,2,4,3
"159",12545,2011-09-25,75,2,1000.39,2,2,3,6,5
"160",12546,2011-10-24,46,2,1161.5,3,2,3,6,5
"161",12547,2011-05-26,197,2,207.8,1,2,1,4,3
"162",12548,2011-06-26,166,1,95.2,1,1,1,3,2
"163",12550,2011-09-21,79,1,964.83,2,1,3,5,4
"164",12551,2010-12-17,357,1,168,1,1,1,3,2
"165",12552,2011-11-01,38,2,437.82,3,2,2,6,4
"166",12553,2011-12-01,8,10,3692.28,4,4,4,9,8
"167",12556,2011-10-20,50,2,599.56,2,2,2,6,4
"168",12557,2011-11-23,16,5,11990.96,4,3,4,9,7
"169",12558,2011-12-02,7,1,269.96,4,1,1,5,2
"170",12559,2011-02-02,310,2,561.71,1,2,2,5,4
"171",12560,2011-12-04,5,3,2134.01,4,3,4,8,7
"172",12561,2011-02-10,302,1,238.85,1,1,1,3,2
"173",12562,2011-12-01,8,7,3781.74,4,4,4,9,8
"174",12564,2011-03-23,261,1,456.9,1,1,2,4,3
"175",12565,2011-02-24,288,1,145.92,1,1,1,3,2
"176",12566,2011-09-14,86,1,351.65,2,1,2,4,3
"177",12567,2011-11-17,22,10,9401.28,3,4,4,9,8
"178",12569,2011-12-07,2,32,4124.69,4,4,4,9,8
"179",12571,2011-10-31,39,2,519.61,3,2,2,6,4
"180",12572,2011-12-01,8,2,1020.42,4,2,3,7,5
"181",12573,2011-04-26,227,1,160.54,1,1,1,3,2
"182",12574,2011-01-28,315,1,218.45,1,1,1,3,2
"183",12576,2011-11-04,35,5,1315.83,3,3,3,8,6
"184",12577,2011-11-04,35,3,622.65,3,3,2,6,5
"185",12578,2011-11-18,21,2,2794.51,3,2,4,8,6
"186",12579,2011-09-22,78,1,440.42,2,1,2,5,3
"187",12580,2011-04-07,246,1,415.7,1,1,2,4,3
"188",12581,2011-10-31,39,1,197.71,3,1,1,4,2
"189",12582,2011-04-15,238,2,511.36,1,2,2,5,4
"190",12583,2011-12-07,2,15,7281.38,4,4,4,9,8
"191",12584,2011-12-06,3,9,2338.15,4,4,4,9,8
"192",12585,2011-04-19,234,2,2040.1,1,2,4,6,6
"193",12586,2011-11-22,17,1,196.94,3,1,1,5,2
"194",12587,2011-12-02,7,1,144,4,1,1,5,2
"195",12588,2011-10-31,39,1,214.9,3,1,1,4,2
"196",12589,2011-11-11,28,2,646.68,3,2,2,6,4
"197",12590,2011-05-12,211,2,9864.26,1,2,4,6,6
"198",12591,2011-01-26,317,1,452.85,1,1,2,4,3
"199",12592,2011-09-08,92,2,437.6,2,2,2,5,4
"200",12593,2011-08-23,108,3,418.1,2,3,2,5,5
"201",12594,2011-11-02,37,10,3338.22,3,4,4,8,8
"202",12596,2011-10-19,51,2,618.27,2,2,2,6,4
"203",12597,2011-11-20,19,4,3811.22,3,3,4,8,7
"204",12598,2011-11-30,9,8,3023.08,4,4,4,9,8
"205",12599,2011-11-10,29,7,1032.58,3,4,3,7,7
"206",12600,2011-11-11,28,10,2599.04,3,4,4,8,8
"207",12601,2011-06-03,189,5,577.06,1,3,2,6,5
"208",12602,2011-10-12,58,1,153.12,2,1,1,4,2
"209",12603,2011-11-18,21,1,739.2,3,1,3,6,4
"210",12604,2011-09-21,79,2,254.18,2,2,1,5,3
"211",12607,2011-10-10,60,1,1579.51,2,1,3,6,4
"212",12609,2011-09-22,78,3,1126.85,2,3,3,6,6
"213",12610,2011-11-17,22,5,2099.54,3,3,4,9,7
"214",12611,2011-10-18,52,1,1193.32,2,1,3,6,4
"215",12612,2011-09-26,74,1,704.04,2,1,3,5,4
"216",12613,2011-10-13,57,5,3344.38,2,3,4,8,7
"217",12614,2011-03-07,277,1,315.6,1,1,2,3,3
"218",12615,2011-12-07,2,4,2291.19,4,3,4,8,7
"219",12616,2011-09-05,95,2,713.3,2,2,3,5,5
"220",12617,2011-11-10,29,1,352.98,3,1,2,4,3
"221",12618,2011-11-18,21,1,177.31,3,1,1,5,2
"222",12619,2011-11-23,16,8,3251.56,4,4,4,9,8
"223",12620,2011-11-25,14,3,1339.41,4,3,3,8,6
"224",12621,2011-12-08,1,20,13689.67,4,4,4,9,8
"225",12622,2011-04-21,232,1,180.1,1,1,1,3,2
"226",12623,2011-03-08,276,1,305.1,1,1,1,3,2
"227",12624,2011-08-25,106,2,641.13,2,2,2,5,4
"228",12625,2011-05-12,211,2,2683.82,1,2,4,6,6
"229",12626,2011-11-16,23,9,6620.48,3,4,4,9,8
"230",12627,2011-11-29,10,7,4478.53,4,4,4,9,8
"231",12628,2011-12-05,4,3,786.46,4,3,3,7,6
"232",12630,2011-11-30,9,2,1270.88,4,2,3,8,5
"233",12631,2011-10-13,57,1,640.5,2,1,2,5,3
"234",12633,2011-10-12,58,4,2163.98,2,3,4,7,7
"235",12635,2011-09-11,89,2,1689.18,2,2,4,7,6
"236",12637,2011-10-03,67,8,6002.9,2,4,4,8,8
"237",12638,2011-11-06,33,1,671.69,3,1,3,5,4
"238",12639,2011-04-15,238,1,486.1,1,1,2,4,3
"239",12640,2011-11-16,23,3,1174.58,3,3,3,7,6
"240",12641,2011-08-16,115,1,185.9,2,1,1,3,2
"241",12642,2011-11-14,25,3,1013.26,3,3,3,6,6
"242",12643,2011-08-03,128,6,3344.64,2,4,4,7,8
"243",12644,2011-08-02,129,1,477.91,2,1,2,4,3
"244",12645,2011-11-06,33,4,1775.18,3,3,4,7,7
"245",12646,2011-12-05,4,2,1346.97,4,2,3,8,5
"246",12647,2011-11-17,22,12,3722.82,3,4,4,9,8
"247",12648,2011-07-08,154,1,318.05,1,1,2,3,3
"248",12649,2011-08-24,107,3,623.51,2,3,2,5,5
"249",12650,2011-12-06,3,1,314.44,4,1,2,5,3
"250",12651,2011-01-09,334,1,114,1,1,1,3,2
"251",12652,2011-01-12,331,1,919.98,1,1,3,4,4
"252",12653,2011-07-14,148,2,2209.85,1,2,4,6,6
"253",12654,2011-11-29,10,5,601.98,4,3,2,8,5
"254",12656,2011-11-22,17,5,4051.17,3,3,4,9,7
"255",12657,2011-11-28,11,4,1643.18,4,3,3,8,6
"256",12658,2011-11-21,18,1,686.05,3,1,3,6,4
"257",12659,2011-11-10,29,1,91.68,3,1,1,4,2
"258",12660,2011-11-28,11,1,245.1,4,1,1,5,2
"259",12662,2011-12-09,0,11,3849.78,4,4,4,9,8
"260",12664,2011-12-01,8,9,4881.88,4,4,4,9,8
"261",12665,2011-01-19,324,1,63,1,1,1,3,2
"262",12667,2011-10-12,58,1,620.13,2,1,2,5,3
"263",12668,2011-11-28,11,4,3807.15,4,3,4,8,7
"264",12669,2011-07-12,150,2,1607.73,1,2,3,6,5
"265",12670,2011-11-29,10,5,2996.05,4,3,4,9,7
"266",12672,2011-01-14,329,1,225.9,1,1,1,3,2
"267",12673,2011-12-04,5,2,610.52,4,2,2,7,4
"268",12674,2011-11-01,38,4,1970.6,3,3,4,7,7
"269",12676,2011-11-15,24,6,1331.39,3,4,3,9,7
"270",12678,2011-10-28,42,12,17628.46,3,4,4,8,8
"271",12679,2011-10-12,58,4,1113.02,2,3,3,6,6
"272",12680,2011-12-09,0,4,862.81,4,3,3,7,6
"273",12681,2011-11-25,14,22,13787.54,4,4,4,9,8
"274",12682,2011-12-06,3,31,12279.82,4,4,4,9,8
"275",12683,2011-12-05,4,15,8476.57,4,4,4,9,8
"276",12684,2011-12-02,7,6,2253.63,4,4,4,9,8
"277",12685,2011-11-11,28,6,2863.08,3,4,4,8,8
"278",12686,2010-12-03,371,1,89.14,1,1,1,3,2
"279",12688,2011-08-18,113,1,4873.81,2,1,4,5,5
"280",12689,2011-11-14,25,2,1247.61,3,2,3,7,5
"281",12690,2011-05-18,205,1,389.01,1,1,2,4,3
"282",12691,2011-11-11,28,6,1035.8,3,4,3,7,7
"283",12693,2011-08-04,127,4,855.91,2,3,3,5,6
"284",12694,2011-09-30,70,2,869.67,2,2,3,6,5
"285",12695,2011-12-02,7,4,582.1,4,3,2,7,5
"286",12697,2011-11-11,28,3,957.59,3,3,3,6,6
"287",12700,2011-12-02,7,4,4939.99,4,3,4,8,7
"288",12701,2011-09-21,79,2,797.71,2,2,3,6,5
"289",12702,2011-11-20,19,1,219,3,1,1,5,2
"290",12703,2011-09-29,71,1,283.55,2,1,1,4,2
"291",12704,2011-12-02,7,8,2340.84,4,4,4,9,8
"292",12705,2011-11-24,15,9,6868.29,4,4,4,9,8
"293",12707,2011-02-21,291,1,603.42,1,1,2,4,3
"294",12708,2011-11-10,29,10,2712.91,3,4,4,8,8
"295",12709,2011-11-24,15,15,9706.52,4,4,4,9,8
"296",12710,2011-09-04,96,3,1149.02,2,3,3,5,6
"297",12712,2011-11-11,28,13,4396.13,3,4,4,8,8
"298",12713,2011-12-09,0,1,848.55,4,1,3,6,4
"299",12714,2011-11-30,9,5,4708.86,4,3,4,9,7
"300",12715,2011-08-25,106,1,343.36,2,1,2,3,3
"301",12716,2011-12-06,3,2,1053.49,4,2,3,7,5
"302",12717,2011-07-11,151,2,1030.98,1,2,3,5,5
"303",12718,2011-09-29,71,1,238.25,2,1,1,4,2
"304",12719,2011-12-04,5,2,644.95,4,2,2,7,4
"305",12720,2011-12-07,2,25,5781.73,4,4,4,9,8
"306",12721,2011-11-08,31,6,2656.13,3,4,4,8,8
"307",12722,2011-09-15,85,4,997.63,2,3,3,6,6
"308",12723,2011-12-06,3,5,725.07,4,3,3,8,6
"309",12724,2011-12-04,5,4,1031.41,4,3,3,7,6
"310",12725,2010-12-03,371,1,427.8,1,1,2,4,3
"311",12726,2011-11-11,28,7,2609.1,3,4,4,8,8
"312",12727,2011-11-29,10,7,3980.7,4,4,4,9,8
"313",12728,2011-09-29,71,4,836.33,2,3,3,6,6
"314",12729,2011-08-18,113,1,453.01,2,1,2,4,3
"315",12731,2011-11-16,23,12,18895.91,3,4,4,9,8
"316",12732,2011-06-13,179,1,236.26,1,1,1,3,2
"317",12733,2011-04-19,234,1,383.95,1,1,2,3,3
"318",12734,2010-12-22,352,1,110.4,1,1,1,3,2
"319",12735,2011-01-28,315,2,779.57,1,2,3,5,5
"320",12736,2011-01-11,332,1,234,1,1,1,3,2
"321",12738,2010-12-02,372,1,155.35,1,1,1,3,2
"322",12739,2011-09-22,78,2,1013.04,2,2,3,6,5
"323",12740,2011-10-07,63,1,427.6,2,1,2,5,3
"324",12743,2011-07-28,134,2,540.13,2,2,2,5,4
"325",12744,2011-10-14,56,4,9120.39,2,3,4,7,7
"326",12747,2011-12-07,2,11,4196.01,4,4,4,9,8
"327",12748,2011-12-09,0,206,31654.78,4,4,4,9,8
"328",12749,2011-12-06,3,5,4090.88,4,3,4,9,7
"329",12750,2011-08-03,128,1,275.88,2,1,1,3,2
"330",12752,2011-09-19,81,1,4366.78,2,1,4,6,5
"331",12753,2011-11-17,22,6,21429.39,3,4,4,9,8
"332",12754,2011-04-18,235,3,3010.74,1,3,4,6,7
"333",12755,2011-03-04,280,2,3811.95,1,2,4,6,6
"334",12756,2011-09-14,86,1,112.08,2,1,1,4,2
"335",12757,2011-11-24,15,9,4232.75,4,4,4,9,8
"336",12758,2011-08-15,116,2,2791.59,2,2,4,6,6
"337",12759,2011-10-18,52,3,1531.44,2,3,3,7,6
"338",12762,2011-12-02,7,2,1898.52,4,2,4,8,6
"339",12763,2011-07-24,138,2,494.08,2,2,2,5,4
"340",12764,2011-01-27,316,1,1693.88,1,1,4,5,5
"341",12766,2011-12-06,3,7,6989.63,4,4,4,9,8
"342",12769,2011-04-15,238,1,1143.6,1,1,3,4,4
"343",12770,2011-05-13,210,1,1351.45,1,1,3,5,4
"344",12772,2011-10-11,59,1,892.47,2,1,3,5,4
"345",12775,2011-11-22,17,5,1386.04,3,3,3,9,6
"346",12778,2011-11-20,19,6,822.23,3,4,3,8,7
"347",12779,2011-11-02,37,8,3981.36,3,4,4,8,8
"348",12781,2011-10-07,63,2,826.74,2,2,3,6,5
"349",12782,2011-12-05,4,5,2330.92,4,3,4,9,7
"350",12783,2011-12-07,2,4,1603.87,4,3,3,8,6
"351",12784,2011-11-30,9,2,532.82,4,2,2,7,4
"352",12785,2010-12-10,364,1,311.95,1,1,2,3,3
"353",12787,2011-11-30,9,3,463.66,4,3,2,7,5
"354",12789,2011-10-05,65,1,91.85,2,1,1,4,2
"355",12790,2011-05-31,192,1,324.92,1,1,2,3,3
"356",12791,2010-12-01,373,1,192.6,1,1,1,3,2
"357",12792,2011-03-28,256,1,400.54,1,1,2,4,3
"358",12793,2011-01-09,334,2,545.48,1,2,2,5,4
"359",12794,2011-10-17,53,2,860.41,2,2,3,6,5
"360",12795,2011-11-21,18,1,430.48,3,1,2,6,3
"361",12797,2010-12-09,365,1,254.03,1,1,1,3,2
"362",12798,2011-11-29,10,3,6977.04,4,3,4,8,7
"363",12802,2011-06-06,186,1,427.58,1,1,2,4,3
"364",12808,2011-11-03,36,3,483.65,3,3,2,6,5
"365",12809,2011-06-15,177,1,489.31,1,1,2,4,3
"366",12811,2011-03-24,260,3,514.85,1,3,2,5,5
"367",12812,2011-10-26,44,1,229.64,3,1,1,4,2
"368",12814,2011-08-30,101,1,125.92,2,1,1,3,2
"369",12815,2011-07-15,147,2,1063.46,1,2,3,5,5
"370",12816,2011-09-05,95,2,572.2,2,2,2,5,4
"371",12817,2011-03-03,281,1,166.04,1,1,1,3,2
"372",12818,2011-03-23,261,1,1542.08,1,1,3,5,4
"373",12820,2011-12-06,3,4,942.34,4,3,3,7,6
"374",12821,2011-05-09,214,1,92.72,1,1,1,3,2
"375",12822,2011-09-30,70,2,948.88,2,2,3,6,5
"376",12823,2011-09-26,74,5,1759.5,2,3,4,8,7
"377",12824,2011-10-11,59,1,397.12,2,1,2,5,3
"378",12826,2011-12-07,2,7,1474.72,4,4,3,9,7
"379",12827,2011-12-04,5,3,430.15,4,3,2,7,5
"380",12828,2011-12-07,2,6,1018.71,4,4,3,8,7
"381",12829,2011-01-07,336,2,293,1,2,1,4,3
"382",12830,2011-11-02,37,6,6814.64,3,4,4,8,8
"383",12831,2011-03-22,262,1,215.05,1,1,1,3,2
"384",12832,2011-11-07,32,2,383.03,3,2,2,5,4
"385",12833,2011-07-17,145,1,417.38,1,1,2,4,3
"386",12834,2011-03-02,282,1,312.38,1,1,2,3,3
"387",12836,2011-10-11,59,4,2610.36,2,3,4,7,7
"388",12837,2011-06-19,173,1,134.1,1,1,1,3,2
"389",12838,2011-11-06,33,2,671.95,3,2,3,6,5
"390",12839,2011-12-07,2,14,5591.42,4,4,4,9,8
"391",12840,2011-07-19,143,4,2726.77,1,3,4,6,7
"392",12841,2011-12-05,4,25,3991.58,4,4,4,9,8
"393",12842,2011-09-30,70,2,1118.99,2,2,3,6,5
"394",12843,2011-10-05,65,8,1702.26,2,4,4,8,8
"395",12844,2011-11-10,29,2,325.96,3,2,2,5,4
"396",12845,2011-03-17,267,4,354.09,1,3,2,4,5
"397",12847,2011-11-17,22,1,843.64,3,1,3,6,4
"398",12849,2011-11-08,31,2,992.65,3,2,3,6,5
"399",12851,2011-09-04,96,1,131.81,2,1,1,3,2
"400",12852,2011-02-18,294,1,311.55,1,1,2,3,3
"401",12853,2011-07-28,134,6,1957.1,2,4,4,7,8
"402",12854,2011-09-22,78,3,1316.25,2,3,3,7,6
"403",12855,2010-12-02,372,1,38.1,1,1,1,3,2
"404",12856,2011-12-02,7,6,2170.78,4,4,4,9,8
"405",12857,2011-05-13,210,2,1106.4,1,2,3,5,5
"406",12863,2011-10-18,52,1,521.2,2,1,2,5,3
"407",12864,2011-07-24,138,1,147.12,2,1,1,3,2
"408",12865,2011-11-13,26,2,1568.23,3,2,3,7,5
"409",12866,2011-03-01,283,1,559.12,1,1,2,4,3
"410",12867,2011-11-13,26,7,4009.34,3,4,4,8,8
"411",12868,2011-06-07,185,6,1607.06,1,4,3,7,7
"412",12871,2011-09-16,84,2,380.64,2,2,2,5,4
"413",12872,2011-01-17,326,2,599.97,1,2,2,5,4
"414",12873,2011-03-02,282,1,374,1,1,2,3,3
"415",12875,2011-07-19,143,2,343.23,1,2,2,4,4
"416",12876,2011-10-13,57,2,2218.02,2,2,4,7,6
"417",12877,2011-12-06,3,12,1535.77,4,4,3,9,7
"418",12878,2011-04-17,236,2,854.99,1,2,3,5,5
"419",12879,2011-10-26,44,3,573.22,3,3,2,6,5
"420",12881,2011-03-09,275,1,298,1,1,1,3,2
"421",12882,2011-11-30,9,2,1463.04,4,2,3,8,5
"422",12883,2011-11-15,24,4,703.47,3,3,3,7,6
"423",12884,2011-09-12,88,1,309.05,2,1,2,4,3
"424",12885,2011-10-07,63,3,1175.22,2,3,3,6,6
"425",12886,2011-10-03,67,2,1378.4,2,2,3,7,5
"426",12888,2011-05-09,214,2,354.12,1,2,2,4,4
"427",12890,2011-11-15,24,1,376.72,3,1,2,5,3
"428",12891,2011-06-07,185,3,331,1,3,2,4,5
"429",12893,2011-11-09,30,1,176.55,3,1,1,4,2
"430",12895,2011-10-28,42,2,372.8,3,2,2,5,4
"431",12897,2011-05-19,204,2,216.5,1,2,1,4,3
"432",12901,2011-12-01,8,28,17654.54,4,4,4,9,8
"433",12902,2011-03-20,264,1,138.68,1,1,1,3,2
"434",12904,2011-11-21,18,2,496.06,3,2,2,7,4
"435",12906,2011-11-28,11,5,2919.81,4,3,4,9,7
"436",12908,2011-06-16,176,2,750,1,2,3,5,5
"437",12909,2011-10-31,39,5,2178.67,3,4,4,8,8
"438",12910,2011-11-16,23,8,3075.04,3,4,4,9,8
"439",12912,2011-12-07,2,5,1662.3,4,4,4,9,8
"440",12913,2011-12-05,4,5,2483.63,4,4,4,9,8
"441",12915,2011-07-14,148,2,363.65,1,2,2,4,4
"442",12916,2011-07-24,138,4,2944.95,2,3,4,6,7
